Property,Name,Value,Raw_value,Unit,Extracted_name,Specifier
Capacity,Li1.2Mn0.4Ni0.16Co0.24O2,230,∼ 230,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.2', 'Mn': '0.4', 'Ni': '0.16', 'Co': '0.24', 'O': '2.0'}]",capacity
Capacity,LiNi0.8Co0.2O2,189,"189 , 182 and 150",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.2', 'O': '2.0'}]",discharge capacities
Capacity,LiFePO4 / C,161,"161 , 165 and 135",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",discharge capacity
Capacity,LiMn2O4,80,80,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",capacity
Capacity,Li4Mn5O12,158.7,158.7,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Mn': '5.0', 'O': '12.0'}]",discharge capacity
Capacity,Carbon / silicon / TiOx∁E composite,791.7,"791.7 , 663.8 , 523.6 , 401.4 , 256.2 and 176.2",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Si': '1.0'}, {'Ti': '1.0', 'O': 'x-3'}]",discharge capacities
Capacity,LiMn2O4,113,113,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",capacity
Capacity,Li1.05Mn1.95O4 / Li,98.4,98.4,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.05', 'Mn': '1.95', 'O': '4.0'}, {'Li': '1.0'}]",specific capacity
Capacity,LiFePO4,170,170,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",theoretical capacity
Capacity,SrLi1.9Na0.1Ti6O14 electrode,261,261,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Sr': '1.0', 'Li': '1.9', 'Na': '0.1', 'Ti': '6.0', 'O': '14.0'}]",capacity
Capacity,Li1.09Mn0.486Ni0.212Co0.212O2,186.9,and 186.9,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.09', 'Mn': '0.486', 'Ni': '0.212', 'Co': '0.212', 'O': '2.0'}]",
Capacity,Silica,906,906,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Si': '1.0', 'O': '2.0'}]",discharge capacity
